customerID,gender,State,Account length,Area code,Contract,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn value,Total Call duration,Complaints,PaperlessBilling,PaymentMethod,Recharge Frequency,Total_charge,Avg_Days_Between_Recharge,estimated_recharge_freq
5299-RULOA,Female,PA,82,408,Month-to-month,No,No,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,FALSE,0,529.3,0,Yes,Electronic check,1.01,50.74,118.2499015,0.2537
8402-OOOHJ,Female,NY,39,408,Two year,No,No,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,FALSE,0,507.4,0,No,Mailed check,0.98,49.04,122.3491028,0.2452
9445-ZUEQE,Male,NM,30,415,Month-to-month,No,No,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,FALSE,0,576.2,0,Yes,Credit card (automatic),1.17,58.74,102.145046,0.2937
1091-SOZGA,Female,NC,63,415,One year,No,Yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,FALSE,0,507.7,0,Yes,Credit card (automatic),0.94,46.86,128.0409731,0.2343
2928-HLDBA,Female,WY,111,415,Month-to-month,No,No,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,FALSE,0,579.6,0,No,Mailed check,1.14,56.77,105.6896248,0.28385
0404-SWRVG,Male,PA,91,510,Month-to-month,No,No,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,FALSE,0,663.2,0,Yes,Electronic check,1.35,67.45,88.95478132,0.33725
6497-TILVL,Female,NV,105,415,Month-to-month,Yes,Yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,TRUE,1,642.1,0,No,Mailed check,1.36,68.15,88.04108584,0.34075
7219-TLZHO,Female,WA,166,408,Month-to-month,Yes,Yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,FALSE,0,710.4,0,No,Mailed check,1.22,60.95,98.44134537,0.30475
4622-YNKIJ,Male,FL,79,510,Two year,No,No,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14,6,3.78,3,FALSE,0,629.9,0,Yes,Electronic check,1.19,59.41,100.9930988,0.29705
4412-YLTKF,Female,ME,105,408,Month-to-month,No,Yes,33,209.6,68,35.63,146.9,140,12.49,121,131,5.44,10.6,3,2.86,2,FALSE,0,488.1,0,Yes,Electronic check,1.13,56.42,106.3452676,0.2821
6734-PSBAW,Male,LA,172,415,Two year,No,No,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,FALSE,0,633.7,0,Yes,Bank transfer (automatic),1.26,62.94,95.32888465,0.3147
3930-ZGWVE,Male,KS,121,408,Month-to-month,No,No,0,150.7,105,25.62,197.3,133,16.77,169,116,7.61,9.2,15,2.48,1,FALSE,0,526.2,0,No,Mailed check,1.05,52.48,114.3292683,0.2624
2639-UGMAZ,Male,ND,88,415,One year,No,No,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,FALSE,0,549.1,0,Yes,Electronic check,1.07,53.62,111.8985453,0.2681
2876-GZYZC,Female,WV,153,408,Month-to-month,No,Yes,28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,FALSE,0,649.2,0,Yes,Electronic check,1.42,71.24,84.222347,0.3562
6207-WIOLX,Female,AR,54,415,Month-to-month,No,Yes,39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,FALSE,0,543.1,0,Yes,Credit card (automatic),1.15,57.47,104.4022969,0.28735
8587-XYZSF,Male,CA,79,510,Two year,No,No,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,TRUE,1,592.6,1,No,Bank transfer (automatic),1.12,56.25,106.6666667,0.28125
3091-FYHKI,Male,MN,55,415,Month-to-month,No,No,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,FALSE,0,636.2,0,Yes,Electronic check,1.18,59.14,101.4541765,0.2957
2372-HWUHI,Male,MT,109,408,Month-to-month,No,No,0,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57,1,TRUE,1,776.6,0,No,Electronic check,1.65,82.38,72.83321194,0.4119
7799-LGRDP,Female,SD,65,408,Two year,No,Yes,31,282.3,70,47.99,152,89,12.92,225.5,93,10.15,12,4,3.24,1,FALSE,0,671.8,0,Yes,Credit card (automatic),1.49,74.3,80.75370121,0.3715
7850-VWJUU,Female,MT,27,510,Month-to-month,No,No,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,FALSE,0,457.8,0,Yes,Bank transfer (automatic),1.03,51.66,116.1440186,0.2583
3774-VBNXY,Female,WV,32,408,Two year,No,Yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,FALSE,0,728.1,0,No,Mailed check,1.58,79.07,75.88212976,0.39535
6217-KDYWC,Male,CT,3,415,Two year,No,Yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,FALSE,0,455.4,0,Yes,Mailed check,0.94,46.8,128.2051282,0.234
0390-DCFDQ,Female,DE,119,415,Month-to-month,No,No,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,FALSE,0,613.6,0,Yes,Mailed check,1.21,60.4,99.33774834,0.302
3146-MSEGF,Female,LA,43,415,Two year,No,No,0,241.9,101,41.12,129.4,121,11,264.8,104,11.92,5.9,3,1.59,1,FALSE,0,642,0,Yes,Credit card (automatic),1.31,65.63,91.42160597,0.32815
4080-OGPJL,Female,KS,116,510,Month-to-month,No,No,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,FALSE,0,598.2,0,No,Electronic check,1.22,61.15,98.11937858,0.30575
1095-WGNGG,Female,WV,107,415,Two year,No,No,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,FALSE,0,546.9,0,Yes,Bank transfer (automatic),0.97,48.42,123.9157373,0.2421
2636-SJDOU,Male,ND,123,408,One year,No,No,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,FALSE,0,609.6,0,Yes,Credit card (automatic),1.17,58.46,102.6342798,0.2923
1131-QQZEB,Male,AK,110,408,Two year,No,No,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3,3,FALSE,0,548.9,0,No,Bank transfer (automatic),0.98,49.05,122.324159,0.24525
5716-EZXZN,Female,ME,176,415,Two year,No,No,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,FALSE,0,602.1,0,Yes,Credit card (automatic),1.32,65.84,91.13001215,0.3292
6837-BJYDQ,Male,MN,13,510,One year,No,Yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,FALSE,0,796.7,0,No,Mailed check,1.73,86.38,69.46052327,0.4319
2135-RXIHG,Male,KS,88,415,Month-to-month,No,No,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,FALSE,0,636.5,0,Yes,Electronic check,1.27,63.61,94.3247917,0.31805
6440-DKQGE,Male,NJ,92,510,One year,No,Yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8,4,2.16,3,FALSE,0,606.8,0,No,Credit card (automatic),1.12,56.07,107.0090958,0.28035
3466-BYAVD,Male,WI,165,510,Month-to-month,No,No,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,FALSE,0,622.5,1,Yes,Mailed check,1.21,60.48,99.20634921,0.3024
3780-YVMFA,Female,AR,156,415,Month-to-month,No,No,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,FALSE,0,533.9,0,Yes,Electronic check,1.1,55.2,108.6956522,0.276
3874-EQOEP,Male,WA,63,408,Month-to-month,No,No,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,FALSE,0,638.6,0,No,Mailed check,1.21,60.4,99.33774834,0.302
1679-JRFBR,Female,ID,83,415,One year,Yes,Yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,FALSE,0,460.1,0,Yes,Credit card (automatic),0.82,41.1,145.9854015,0.2055
9073-ZZIAY,Male,VA,158,415,Two year,No,No,0,222.8,101,37.88,203,128,17.26,210.6,106,9.48,6.9,2,1.86,2,FALSE,0,643.3,0,No,Electronic check,1.33,66.48,90.25270758,0.3324
3077-RSNTJ,Female,WV,115,510,Month-to-month,Yes,No,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,TRUE,1,659.4,0,No,Mailed check,1.48,74.05,81.02633356,0.37025
6551-GNYDG,Female,UT,103,510,Month-to-month,No,Yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,TRUE,1,434.1,1,Yes,Bank transfer (automatic),0.79,39.65,151.3240858,0.19825
9167-APMXZ,Female,NJ,64,415,Month-to-month,No,No,0,224.8,111,38.22,190,101,16.15,221.4,110,9.96,9.2,2,2.48,1,FALSE,0,645.4,0,Yes,Bank transfer (automatic),1.34,66.81,89.80691513,0.33405
2749-CTKAJ,Male,MS,86,510,One year,No,Yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,FALSE,0,643,0,No,Mailed check,1.46,73.01,82.18052322,0.36505
6371-NZYEG,Male,ME,151,415,Two year,No,Yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,FALSE,0,607.5,0,No,Mailed check,1.24,61.95,96.85230024,0.30975
7554-NEWDD,Male,NM,87,510,Two year,Yes,No,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11,6,2.97,1,FALSE,0,509.9,0,No,Bank transfer (automatic),1.09,54.27,110.5583195,0.27135
8992-VONJD,Female,TX,90,415,Month-to-month,No,No,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11,5,2.97,2,FALSE,0,417.9,0,Yes,Electronic check,0.81,40.49,148.184737,0.20245
0867-MKZVY,Female,LA,108,510,Month-to-month,No,Yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,FALSE,0,684.4,0,No,Electronic check,1.53,76.39,78.54431208,0.38195
4482-EWFMI,Female,TN,33,415,Month-to-month,No,Yes,35,186.8,124,31.76,261,69,22.19,317.8,103,14.3,15,5,4.05,0,FALSE,0,780.6,0,Yes,Electronic check,1.45,72.3,82.98755187,0.3615
4648-YPBTM,Male,WI,149,415,Two year,Yes,Yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,TRUE,1,447.8,1,Yes,Bank transfer (automatic),0.89,44.67,134.3183345,0.22335
2907-ILJBN,Female,MT,106,510,One year,No,No,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,FALSE,0,579.5,0,No,Mailed check,1.15,57.55,104.2571677,0.28775
6345-FZOQH,Male,ND,167,408,Two year,Yes,No,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,FALSE,0,641,0,No,Mailed check,1.36,68.23,87.93785725,0.34115
3376-BMGFE,Female,WI,35,510,Month-to-month,No,Yes,27,241.7,87,41.09,142,101,12.07,288.9,68,13,9.4,4,2.54,1,FALSE,0,682,0,Yes,Bank transfer (automatic),1.37,68.7,87.33624454,0.3435
5997-OPVFA,Male,MO,107,415,Two year,No,Yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,FALSE,0,675.4,0,Yes,Bank transfer (automatic),1.48,73.79,81.31183087,0.36895
3445-HXXGF,Male,AZ,92,415,Month-to-month,Yes,Yes,45,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03,0,FALSE,0,580.9,0,Yes,Electronic check,1.42,70.89,84.63817182,0.35445
1159-WFSGR,Female,VT,38,415,Month-to-month,No,No,0,137.8,86,23.43,286.3,76,24.34,167,77,7.52,14.1,3,3.81,2,FALSE,0,605.2,0,No,Electronic check,1.18,59.1,101.5228426,0.2955
7654-YWJUF,Male,VA,68,408,One year,Yes,No,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,TRUE,1,580.9,0,Yes,Bank transfer (automatic),1.14,56.75,105.7268722,0.28375
1875-QIVME,Female,NE,123,510,Month-to-month,No,No,0,194,118,32.98,242,114,20.57,146.3,108,6.58,12.1,4,3.27,1,FALSE,0,594.4,0,Yes,Electronic check,1.27,63.4,94.63722397,0.317
6727-IOTLZ,Male,WA,75,510,Two year,No,Yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,FALSE,0,518.4,0,No,Mailed check,1.01,50.62,118.5302252,0.2531
0691-JVSYA,Female,NM,153,408,One year,No,No,0,185.3,127,31.5,208,73,17.68,206.1,124,9.27,15.1,3,4.08,1,FALSE,0,614.5,0,Yes,Bank transfer (automatic),1.25,62.53,95.95394211,0.31265
5918-VUKWP,Female,FL,143,415,One year,No,No,0,119.1,117,20.25,287.7,136,24.45,223,100,10.04,12.2,4,3.29,0,FALSE,0,642,0,No,Bank transfer (automatic),1.16,58.03,103.3947958,0.29015
1744-JHKYS,Female,SC,87,408,Month-to-month,No,No,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,TRUE,1,722.7,0,No,Electronic check,1.66,83.14,72.16742843,0.4157
2656-FMOKZ,Female,IN,100,510,Month-to-month,No,No,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,FALSE,0,580.4,0,Yes,Mailed check,1.28,64.06,93.6621917,0.3203
2070-FNEXE,Female,FL,144,415,Month-to-month,No,Yes,51,283.9,98,48.26,192,109,16.32,196.3,85,8.83,10,4,2.7,1,FALSE,0,682.2,0,No,Bank transfer (automatic),1.52,76.11,78.83326764,0.38055
5947-SGKCL,Female,ND,70,415,Month-to-month,No,Yes,31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,FALSE,0,585.3,0,Yes,Bank transfer (automatic),1.04,52.24,114.8545176,0.2612
3712-PKXZA,Male,MA,136,408,One year,Yes,No,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97,3,TRUE,1,494.4,0,Yes,Credit card (automatic),1.16,58.13,103.2169276,0.29065
6317-YPKDH,Female,MO,120,415,Month-to-month,No,Yes,24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,FALSE,0,707.7,0,No,Bank transfer (automatic),1.42,70.92,84.60236887,0.3546
6582-OIVSP,Female,WY,104,408,Month-to-month,No,No,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,FALSE,0,532.1,0,No,Mailed check,1.09,54.58,109.9303774,0.2729
9367-WXLCH,Male,CA,75,510,Month-to-month,No,Yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,FALSE,0,669.2,0,No,Bank transfer (automatic),1.19,59.38,101.0441226,0.2969
5524-KHNJP,Male,NE,127,510,One year,Yes,No,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2,2,FALSE,0,647.7,0,No,Credit card (automatic),1.24,61.81,97.07167125,0.30905
1918-ZBFQJ,Female,ID,122,510,Month-to-month,No,Yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,FALSE,0,672.9,1,Yes,Electronic check,1.51,75.61,79.35458273,0.37805
1024-GUALD,Female,VT,124,415,Month-to-month,No,No,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12,2,3.24,0,FALSE,0,603.4,0,Yes,Electronic check,1.23,61.5,97.56097561,0.3075
4827-USJHP,Male,MO,167,415,Month-to-month,Yes,No,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,FALSE,0,493,0,Yes,Mailed check,1.15,57.63,104.1124414,0.28815
8167-GJLRN,Male,VA,89,415,Month-to-month,No,Yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,FALSE,0,692.6,0,No,Electronic check,1.39,69.35,86.51766402,0.34675
0956-SYCWG,Female,VT,73,408,One year,No,No,0,213,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,FALSE,0,551.5,0,No,Electronic check,1.24,62.04,96.71179884,0.3102
8017-UVSZU,Female,MS,1,415,Month-to-month,No,No,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,FALSE,0,489.8,0,No,Credit card (automatic),0.95,47.75,125.6544503,0.23875
7100-FQPRV,Male,KY,60,408,One year,No,No,0,135.4,134,23.02,205.9,85,17.5,204,103,9.18,7.9,4,2.13,1,FALSE,0,553.2,0,Yes,Credit card (automatic),1.04,51.83,115.7630716,0.25915
2472-OVKUP,Male,WV,77,510,Month-to-month,No,No,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12,2,3.24,1,FALSE,0,511.9,0,Yes,Electronic check,0.84,42.02,142.789148,0.2101
2984-RGEYA,Female,DC,76,415,Two year,No,No,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,FALSE,0,562.8,0,No,Bank transfer (automatic),1.22,60.8,98.68421053,0.304
9680-NIAUV,Female,IA,63,510,Two year,No,No,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,FALSE,0,677.5,0,No,Credit card (automatic),1.25,62.64,95.78544061,0.3132
2146-EGVDT,Male,MN,150,415,Two year,No,Yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11,4,2.97,1,FALSE,0,556.9,0,No,Credit card (automatic),1.12,56.13,106.8947087,0.28065
2604-IJPDU,Female,VT,101,415,Month-to-month,No,No,0,153.8,89,26.15,234,89,19.89,196.3,77,8.83,11.6,2,3.13,4,FALSE,0,595.7,1,Yes,Electronic check,1.16,58,103.4482759,0.29
9178-JHUVJ,Male,AK,132,415,Two year,No,Yes,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,FALSE,0,597,0,Yes,Bank transfer (automatic),1.16,58.25,103.0042918,0.29125
6168-YBYNP,Male,CA,158,510,Month-to-month,No,No,0,155.9,123,26.5,224.2,112,19.06,221,116,9.95,8.6,8,2.32,2,FALSE,0,609.7,0,Yes,Electronic check,1.16,57.83,103.7523777,0.28915
7255-SSFBC,Male,MS,114,415,Two year,No,Yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,FALSE,0,594.6,0,Yes,Bank transfer (automatic),1.14,57.23,104.8401188,0.28615
3645-DEYGF,Male,AR,77,415,Month-to-month,No,Yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,FALSE,0,605.9,0,No,Mailed check,1.25,62.43,96.10764056,0.31215
9323-HGFWY,Female,NJ,107,415,One year,No,No,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,FALSE,0,589.7,0,Yes,Credit card (automatic),1.22,60.79,98.70044415,0.30395
8544-GOQSH,Female,NJ,48,510,Month-to-month,No,Yes,22,152,63,25.84,258.8,131,22,263.2,109,11.84,15.7,5,4.24,2,TRUE,1,689.7,0,Yes,Credit card (automatic),1.28,63.92,93.86733417,0.3196
3363-DTIVD,Male,TN,59,415,Two year,No,No,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5,5,1.35,3,FALSE,0,690.5,0,No,Electronic check,1.25,62.35,96.23095429,0.31175
7018-WBJNK,Male,DE,129,510,Month-to-month,No,No,0,334.3,118,56.83,192.1,104,16.33,191,83,8.59,10.4,6,2.81,0,TRUE,1,727.8,0,Yes,Credit card (automatic),1.69,84.56,70.95553453,0.4228
9142-KZXOP,Male,TX,50,510,Month-to-month,No,No,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,FALSE,0,556.2,0,No,Credit card (automatic),1.19,59.4,101.010101,0.297
7674-YTAFD,Female,MI,50,415,One year,No,Yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,FALSE,0,551.9,0,Yes,Bank transfer (automatic),1.12,56.09,106.9709396,0.28045
6348-SNFUS,Male,MS,116,415,Two year,No,No,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,FALSE,0,592.8,0,Yes,Credit card (automatic),1.3,65.02,92.27929868,0.3251
1285-OKIPP,Male,OK,52,510,Month-to-month,No,Yes,38,169.3,88,28.78,225.9,97,19.2,172,86,7.74,8.2,3,2.21,0,FALSE,0,575.4,0,No,Electronic check,1.16,57.93,103.5732781,0.28965
7825-ECJRF,Female,ND,12,510,Month-to-month,Yes,No,0,216.7,117,36.84,116.5,126,9.9,220,110,9.9,9.8,4,2.65,2,FALSE,0,563,0,Yes,Electronic check,1.19,59.29,101.1975038,0.29645
1347-KTTTA,Male,ND,105,510,One year,No,No,0,246.4,83,41.89,256.2,101,21.78,169,151,7.61,3.8,4,1.03,0,FALSE,0,675.4,0,Yes,Credit card (automatic),1.45,72.31,82.97607523,0.36155
7841-TZDMQ,Male,NY,104,415,Month-to-month,No,No,0,156.2,93,26.55,193,54,16.41,222.7,94,10.02,13.1,5,3.54,1,FALSE,0,585,0,Yes,Credit card (automatic),1.13,56.52,106.1571125,0.2826
4195-NZGTA,Female,WV,13,415,Month-to-month,No,No,0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1,FALSE,0,522.9,0,No,Electronic check,1.01,50.31,119.2605844,0.25155
7157-SMCFK,Male,WV,67,408,Two year,No,No,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,FALSE,0,454.2,0,No,Mailed check,1,50.01,119.9760048,0.25005
4709-LKHYG,Female,DC,148,415,One year,No,Yes,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,FALSE,0,812.3,0,No,Electronic check,1.65,82.31,72.89515247,0.41155
2504-DSHIH,Male,MN,116,510,Month-to-month,No,No,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,FALSE,0,675.9,0,No,Electronic check,1.37,68.62,87.4380647,0.3431
0699-NDKJM,Female,DE,131,408,Month-to-month,No,No,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,FALSE,0,502.3,0,Yes,Bank transfer (automatic),0.92,45.96,130.5483029,0.2298
9286-BHDQG,Male,VT,119,510,Two year,No,No,0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10,1,2.7,2,FALSE,0,577.2,0,No,Credit card (automatic),1.21,60.65,98.928277,0.30325
0230-WEQUW,Male,NY,94,510,Two year,Yes,No,0,243.2,109,41.34,147,88,12.5,94.9,99,4.27,7.2,4,1.94,4,FALSE,0,492.3,1,Yes,Bank transfer (automatic),1.2,60.05,99.91673605,0.30025
2040-LDIWQ,Male,TX,217,408,Two year,No,No,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,FALSE,0,651.1,1,Yes,Bank transfer (automatic),1.2,59.8,100.3344482,0.299
6496-JDSSB,Female,OR,161,415,Month-to-month,No,No,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,FALSE,0,470.7,0,Yes,Bank transfer (automatic),1.02,51.22,117.1417415,0.2561
9408-SSNVZ,Female,KS,67,408,Month-to-month,No,No,0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7,3,1.89,0,FALSE,0,508.5,0,Yes,Electronic check,1.07,53.54,112.0657452,0.2677
4443-EMBNA,Female,ND,132,415,Two year,No,Yes,31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,FALSE,0,603.2,0,No,Bank transfer (automatic),1.22,61.11,98.18360334,0.30555
6469-MRVET,Male,PA,134,408,One year,No,No,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5,9,1.35,1,FALSE,0,629.9,0,Yes,Electronic check,1.3,64.75,92.66409266,0.32375
0742-MOABM,Male,NY,44,510,Month-to-month,No,No,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,FALSE,0,536.4,0,No,Mailed check,1.01,50.53,118.7413418,0.25265
5961-VUSRV,Female,WY,53,415,One year,No,Yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,FALSE,0,467,0,Yes,Bank transfer (automatic),0.68,33.97,176.6264351,0.16985
6778-JFCMK,Male,NY,108,415,One year,No,No,0,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4,TRUE,1,528.3,1,Yes,Mailed check,1.02,51.01,117.6239953,0.25505
6341-JVQGF,Female,ME,80,408,One year,No,No,0,322.3,113,54.79,222,95,18.87,162.8,123,7.33,6.7,8,1.81,0,TRUE,1,713.8,0,Yes,Mailed check,1.66,82.8,72.46376812,0.414
2232-DMLXU,Female,SD,88,415,Month-to-month,No,No,0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,FALSE,0,614.9,0,No,Mailed check,1.32,65.93,91.00561201,0.32965
4811-JBUVU,Male,UT,82,510,Month-to-month,Yes,No,0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,12.4,6,3.35,3,FALSE,0,610,0,Yes,Credit card (automatic),1.3,64.89,92.46417013,0.32445
0945-TSONX,Female,AK,115,415,Two year,No,No,0,245.2,105,41.68,159,109,13.52,229.9,74,10.35,7.2,8,1.94,0,FALSE,0,641.3,0,Yes,Credit card (automatic),1.35,67.49,88.90205956,0.33745
2651-ZCBXV,Male,RI,93,415,Two year,No,No,0,98.4,78,16.73,249.6,129,21.22,248.2,114,11.17,14.2,4,3.83,1,FALSE,0,610.4,0,Yes,Credit card (automatic),1.06,52.95,113.3144476,0.26475
3316-UWXUY,Male,AL,72,415,Month-to-month,No,No,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4,FALSE,0,600.5,1,Yes,Credit card (automatic),1.28,64.18,93.48706762,0.3209
8937-RDTHP,Male,DE,98,415,Month-to-month,No,Yes,29,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,3,FALSE,0,546.2,0,Yes,Mailed check,1.15,57.51,104.3296818,0.28755
7083-MIOPC,Female,ID,118,415,Two year,No,No,0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,FALSE,0,543.3,0,No,Credit card (automatic),1.03,51.26,117.0503316,0.2563
1984-GPTEH,Female,MO,55,510,Month-to-month,No,No,0,189,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,FALSE,0,572.7,0,No,Electronic check,1.16,57.98,103.48396,0.2899
1251-KRREG,Male,IL,130,415,Month-to-month,No,No,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,FALSE,0,686.6,0,Yes,Mailed check,1.27,63.26,94.84666456,0.3163
